Brand ,Model,Year,Engine HP,Engine Cylinders,Transmission Type,Driven Mode,Number of Doors,highway MPG,city mpg,Popularity,Price
BMW,6 Series,2017,315,6,AUTOMATIC,rear wheel drive,2,30,21,3916,77600
BMW,6 Series,2017,445,8,AUTOMATIC,rear wheel drive,2,24,17,3916,89000
BMW,6 Series,2017,315,6,AUTOMATIC,all wheel drive,2,28,19,3916,80600
BMW,6 Series,2017,315,6,AUTOMATIC,rear wheel drive,2,29,20,3916,85100
BMW,6 Series,2017,315,6,AUTOMATIC,all wheel drive,2,28,19,3916,88100
BMW,6 Series,2017,445,8,AUTOMATIC,rear wheel drive,2,24,17,3916,96500
BMW,6 Series,2017,445,8,AUTOMATIC,all wheel drive,2,24,15,3916,99500
BMW,6 Series Gran Coupe,2015,445,8,AUTOMATIC,all wheel drive,4,24,16,3916,92600
BMW,6 Series Gran Coupe,2015,315,6,AUTOMATIC,all wheel drive,4,29,20,3916,81300
BMW,6 Series Gran Coupe,2015,315,6,AUTOMATIC,rear wheel drive,4,31,20,3916,78300
BMW,6 Series Gran Coupe,2015,445,8,AUTOMATIC,rear wheel drive,4,25,17,3916,89600
BMW,6 Series Gran Coupe,2016,445,8,AUTOMATIC,all wheel drive,4,24,15,3916,93900
BMW,6 Series Gran Coupe,2016,315,6,AUTOMATIC,all wheel drive,4,29,20,3916,82500
BMW,6 Series Gran Coupe,2016,445,8,AUTOMATIC,rear wheel drive,4,25,17,3916,90900
BMW,6 Series Gran Coupe,2016,315,6,AUTOMATIC,rear wheel drive,4,31,20,3916,79500
BMW,6 Series Gran Coupe,2017,445,8,AUTOMATIC,rear wheel drive,4,24,17,3916,91200
BMW,6 Series Gran Coupe,2017,315,6,AUTOMATIC,all wheel drive,4,28,19,3916,82800
BMW,6 Series Gran Coupe,2017,445,8,AUTOMATIC,all wheel drive,4,24,15,3916,94200
BMW,6 Series Gran Coupe,2017,315,6,AUTOMATIC,rear wheel drive,4,29,20,3916,79800
BMW,7 Series,2015,535,12,AUTOMATIC,rear wheel drive,4,20,13,3916,141200
BMW,7 Series,2015,315,6,AUTOMATIC,rear wheel drive,4,29,19,3916,78000
BMW,7 Series,2015,445,8,AUTOMATIC,rear wheel drive,4,25,16,3916,91000
BMW,7 Series,2015,445,8,AUTOMATIC,all wheel drive,4,24,16,3916,94000
BMW,7 Series,2015,315,6,AUTOMATIC,all wheel drive,4,28,19,3916,81000
BMW,7 Series,2015,315,6,AUTOMATIC,rear wheel drive,4,29,19,3916,74000
BMW,7 Series,2015,445,8,AUTOMATIC,rear wheel drive,4,25,17,3916,87300
BMW,7 Series,2015,445,8,AUTOMATIC,all wheel drive,4,24,16,3916,90300
BMW,7 Series,2015,255,6,AUTOMATIC,all wheel drive,4,31,23,3916,82500
BMW,7 Series,2016,445,8,AUTOMATIC,rear wheel drive,4,25,17,3916,94400
BMW,7 Series,2016,320,6,AUTOMATIC,rear wheel drive,4,29,21,3916,81300
BMW,7 Series,2016,445,8,AUTOMATIC,all wheel drive,4,25,16,3916,97400
BMW,7 Series,2017,445,8,AUTOMATIC,rear wheel drive,4,26,17,3916,94600
BMW,7 Series,2017,445,8,AUTOMATIC,all wheel drive,4,25,16,3916,97600
BMW,7 Series,2017,320,6,AUTOMATIC,all wheel drive,4,28,19,3916,84500
BMW,7 Series,2017,320,6,AUTOMATIC,rear wheel drive,4,29,21,3916,81500
BMW,8 Series,1995,282,8,AUTOMATIC,rear wheel drive,2,22,15,3916,4784
BMW,8 Series,1995,322,12,AUTOMATIC,rear wheel drive,2,19,12,3916,5858
BMW,8 Series,1995,372,12,MANUAL,rear wheel drive,2,18,10,3916,8488
BMW,8 Series,1996,322,12,AUTOMATIC,rear wheel drive,2,19,12,3916,6954
BMW,8 Series,1996,282,8,AUTOMATIC,rear wheel drive,2,19,14,3916,5680
BMW,8 Series,1997,322,12,AUTOMATIC,rear wheel drive,2,19,12,3916,7624
BMW,8 Series,1997,282,8,AUTOMATIC,rear wheel drive,2,19,14,3916,6693
BMW,ActiveHybrid 5,2014,335,6,AUTOMATIC,rear wheel drive,4,30,23,3916,61400
BMW,ActiveHybrid 5,2015,335,6,AUTOMATIC,rear wheel drive,4,30,23,3916,61900
BMW,ActiveHybrid 5,2016,335,6,AUTOMATIC,rear wheel drive,4,30,23,3916,62100
BMW,ActiveHybrid 7,2013,350,6,AUTOMATIC,rear wheel drive,4,30,22,3916,84300
BMW,ActiveHybrid 7,2014,350,6,AUTOMATIC,rear wheel drive,4,30,22,3916,84300
BMW,ActiveHybrid 7,2015,335,6,AUTOMATIC,rear wheel drive,4,30,22,3916,84300
BMW,ActiveHybrid X6,2010,480,8,AUTOMATIC,all wheel drive,4,19,17,3916,88900
BMW,ActiveHybrid X6,2011,480,8,AUTOMATIC,all wheel drive,4,19,17,3916,88900
BMW,Alpina,2003,375,8,AUTOMATIC,rear wheel drive,2,19,13,3916,136900
BMW,ALPINA B6 Gran Coupe,2015,540,8,AUTOMATIC,all wheel drive,4,24,16,3916,117300
BMW,ALPINA B6 Gran Coupe,2016,600,8,AUTOMATIC,all wheel drive,4,24,15,3916,122200
BMW,ALPINA B6 Gran Coupe,2017,600,8,AUTOMATIC,all wheel drive,4,24,15,3916,122500
BMW,ALPINA B7,2014,540,8,AUTOMATIC,all wheel drive,4,24,16,3916,135200
BMW,ALPINA B7,2014,540,8,AUTOMATIC,rear wheel drive,4,25,16,3916,132200
BMW,ALPINA B7,2014,540,8,AUTOMATIC,all wheel drive,4,24,16,3916,131300
BMW,ALPINA B7,2014,540,8,AUTOMATIC,rear wheel drive,4,25,16,3916,128300
BMW,ALPINA B7,2015,540,8,AUTOMATIC,rear wheel drive,4,25,16,3916,132200
BMW,ALPINA B7,2015,540,8,AUTOMATIC,all wheel drive,4,24,16,3916,131300
BMW,ALPINA B7,2015,540,8,AUTOMATIC,all wheel drive,4,24,16,3916,135200
BMW,ALPINA B7,2015,540,8,AUTOMATIC,rear wheel drive,4,25,16,3916,128300
BMW,ALPINA B7,2017,600,8,AUTOMATIC,all wheel drive,4,24,16,3916,137000
BMW,i3,2015,170,0,DIRECT_DRIVE,rear wheel drive,4,111,137,3916,42400
BMW,i3,2016,170,0,DIRECT_DRIVE,rear wheel drive,4,111,137,3916,42400
BMW,i3,2017,170,0,DIRECT_DRIVE,rear wheel drive,4,111,137,3916,42400
BMW,i3,2017,170,0,DIRECT_DRIVE,rear wheel drive,4,106,129,3916,43600
BMW,M,2001,315,6,MANUAL,rear wheel drive,2,23,15,3916,44990
BMW,M,2001,315,6,MANUAL,rear wheel drive,2,23,15,3916,45990
BMW,M,2002,315,6,MANUAL,rear wheel drive,2,25,17,3916,44990
BMW,M,2006,330,6,MANUAL,rear wheel drive,2,22,14,3916,49300
BMW,M,2006,330,6,MANUAL,rear wheel drive,2,22,14,3916,51300
BMW,M2,2016,365,6,MANUAL,rear wheel drive,2,26,18,3916,51700
BMW,M2,2017,365,6,MANUAL,rear wheel drive,2,26,18,3916,51700
BMW,M3,2015,425,6,MANUAL,rear wheel drive,4,26,17,3916,62000
BMW,M3,2016,425,6,MANUAL,rear wheel drive,4,26,17,3916,63500
BMW,M3,2017,425,6,MANUAL,rear wheel drive,4,26,17,3916,64000
BMW,M4,2015,425,6,MANUAL,rear wheel drive,2,26,17,3916,64200
BMW,M4,2015,425,6,MANUAL,rear wheel drive,2,26,17,3916,72500
BMW,M4,2016,425,6,MANUAL,rear wheel drive,2,26,17,3916,74200
BMW,M4,2016,425,6,MANUAL,rear wheel drive,2,26,17,3916,65700
BMW,M4,2017,425,6,MANUAL,rear wheel drive,2,26,17,3916,74700
BMW,M4,2017,425,6,MANUAL,rear wheel drive,2,26,17,3916,66200
BMW,M4 GTS,2016,493,6,AUTOMATED_MANUAL,rear wheel drive,2,23,16,3916,133205
BMW,M5,2014,552,8,AUTOMATED_MANUAL,rear wheel drive,4,20,14,3916,92900
BMW,M5,2015,560,8,AUTOMATED_MANUAL,rear wheel drive,4,20,14,3916,93600
BMW,M5,2016,560,8,AUTOMATED_MANUAL,rear wheel drive,4,20,14,3916,94100
BMW,M6,2015,560,8,AUTOMATED_MANUAL,rear wheel drive,2,20,14,3916,118200
BMW,M6,2015,560,8,AUTOMATED_MANUAL,rear wheel drive,2,20,14,3916,111900
BMW,M6,2016,552,8,AUTOMATED_MANUAL,rear wheel drive,2,20,14,3916,119700
BMW,M6,2016,552,8,AUTOMATED_MANUAL,rear wheel drive,2,20,14,3916,113400
BMW,M6,2017,560,8,AUTOMATED_MANUAL,rear wheel drive,2,20,14,3916,113700
BMW,M6,2017,560,8,AUTOMATED_MANUAL,rear wheel drive,2,22,15,3916,120000
BMW,M6 Gran Coupe,2015,560,8,AUTOMATED_MANUAL,rear wheel drive,4,20,14,3916,115700
BMW,M6 Gran Coupe,2016,552,8,AUTOMATED_MANUAL,rear wheel drive,4,20,14,3916,117200
BMW,M6 Gran Coupe,2017,560,8,AUTOMATED_MANUAL,rear wheel drive,4,20,14,3916,117500
BMW,X1,2015,240,4,AUTOMATIC,rear wheel drive,4,34,23,3916,31200
BMW,X1,2015,240,4,AUTOMATIC,all wheel drive,4,32,22,3916,33000
BMW,X1,2015,300,6,AUTOMATIC,all wheel drive,4,27,18,3916,39100
BMW,X1,2016,228,4,AUTOMATIC,all wheel drive,4,32,22,3916,34800
BMW,X1,2017,228,4,AUTOMATIC,front wheel drive,4,32,23,3916,33100
BMW,X1,2017,228,4,AUTOMATIC,all wheel drive,4,31,22,3916,35100
BMW,X3,2015,300,6,AUTOMATIC,all wheel drive,4,26,19,3916,45500
BMW,X3,2015,240,4,AUTOMATIC,all wheel drive,4,28,21,3916,40500
BMW,X3,2015,180,4,AUTOMATIC,all wheel drive,4,34,27,3916,42000
BMW,X3,2015,240,4,AUTOMATIC,rear wheel drive,4,28,21,3916,38500
BMW,X3,2016,240,4,AUTOMATIC,rear wheel drive,4,28,21,3916,38950
BMW,X3,2016,300,6,AUTOMATIC,all wheel drive,4,27,19,3916,46800
BMW,X3,2016,240,4,AUTOMATIC,all wheel drive,4,28,21,3916,40950
BMW,X3,2016,180,4,AUTOMATIC,all wheel drive,4,34,27,3916,42450
BMW,X3,2017,180,4,AUTOMATIC,all wheel drive,4,34,27,3916,42750
BMW,X3,2017,300,6,AUTOMATIC,all wheel drive,4,26,19,3916,47950
BMW,X3,2017,240,4,AUTOMATIC,all wheel drive,4,28,21,3916,41250
BMW,X3,2017,240,4,AUTOMATIC,rear wheel drive,4,28,21,3916,39250
BMW,X4,2015,240,4,AUTOMATIC,all wheel drive,4,28,20,3916,44700
BMW,X4,2015,300,6,AUTOMATIC,all wheel drive,4,27,19,3916,48000
BMW,X4,2016,360,6,AUTOMATIC,all wheel drive,4,25,18,3916,57800
BMW,X4,2016,240,4,AUTOMATIC,all wheel drive,4,28,20,3916,45250
BMW,X4,2016,300,6,AUTOMATIC,all wheel drive,4,27,19,3916,49700
BMW,X4,2017,355,6,AUTOMATIC,all wheel drive,4,26,19,3916,58100
BMW,X4,2017,240,4,AUTOMATIC,all wheel drive,4,28,20,3916,45550
BMW,X5,2015,255,6,AUTOMATIC,all wheel drive,4,31,24,3916,57700
BMW,X5,2015,300,6,AUTOMATIC,rear wheel drive,4,27,19,3916,53900
BMW,X5,2015,300,6,AUTOMATIC,all wheel drive,4,27,18,3916,56200
BMW,X5,2015,445,8,AUTOMATIC,all wheel drive,4,22,15,3916,70100
BMW,X5,2016,300,6,AUTOMATIC,all wheel drive,4,24,18,3916,57000
BMW,X5,2016,445,8,AUTOMATIC,all wheel drive,4,21,15,3916,71500
BMW,X5,2016,255,6,AUTOMATIC,all wheel drive,4,30,23,3916,57700
BMW,X5,2016,300,6,AUTOMATIC,rear wheel drive,4,25,18,3916,54700
BMW,X5,2017,300,6,AUTOMATIC,all wheel drive,4,24,18,3916,57800
BMW,X5,2017,300,6,AUTOMATIC,rear wheel drive,4,25,18,3916,55500
BMW,X5,2017,255,6,AUTOMATIC,all wheel drive,4,30,23,3916,59300
BMW,X5,2017,445,8,AUTOMATIC,all wheel drive,4,21,15,3916,72300
BMW,X5 M,2015,567,8,AUTOMATIC,all wheel drive,4,19,14,3916,98700
BMW,X5 M,2016,567,8,AUTOMATIC,all wheel drive,4,19,14,3916,98800
BMW,X5 M,2017,567,8,AUTOMATIC,all wheel drive,4,19,14,3916,98800
BMW,X6,2015,300,6,AUTOMATIC,all wheel drive,4,27,18,3916,61900
BMW,X6,2015,445,8,AUTOMATIC,all wheel drive,4,22,15,3916,72900
BMW,X6,2015,300,6,AUTOMATIC,rear wheel drive,4,27,19,3916,59600
BMW,X6,2016,300,6,AUTOMATIC,all wheel drive,4,24,18,3916,62900
BMW,X6,2016,300,6,AUTOMATIC,rear wheel drive,4,25,18,3916,60600
BMW,X6,2016,445,8,AUTOMATIC,all wheel drive,4,21,15,3916,75300
BMW,X6,2017,300,6,AUTOMATIC,rear wheel drive,4,25,18,3916,61400
BMW,X6,2017,445,8,AUTOMATIC,all wheel drive,4,21,15,3916,76100
BMW,X6,2017,300,6,AUTOMATIC,all wheel drive,4,24,18,3916,63700
BMW,X6 M,2015,567,8,AUTOMATIC,all wheel drive,4,19,14,3916,102100
BMW,X6 M,2016,567,8,AUTOMATIC,all wheel drive,4,19,14,3916,102200
BMW,X6 M,2017,567,8,AUTOMATIC,all wheel drive,4,19,14,3916,102200
BMW,Z3,2000,193,6,MANUAL,rear wheel drive,2,24,17,3916,4976
BMW,Z3,2000,193,6,MANUAL,rear wheel drive,2,24,17,3916,4697
BMW,Z3,2000,170,6,MANUAL,rear wheel drive,2,25,17,3916,4755
BMW,Z3,2001,225,6,MANUAL,rear wheel drive,2,26,19,3916,37900
BMW,Z3,2001,184,6,MANUAL,rear wheel drive,2,25,18,3916,31300
BMW,Z3,2001,225,6,MANUAL,rear wheel drive,2,26,19,3916,37700
BMW,Z3,2002,225,6,MANUAL,rear wheel drive,2,26,19,3916,37900
BMW,Z3,2002,184,6,MANUAL,rear wheel drive,2,25,18,3916,31300
BMW,Z3,2002,225,6,MANUAL,rear wheel drive,2,26,19,3916,37700
BMW,Z4,2014,240,4,MANUAL,rear wheel drive,2,34,22,3916,48950
BMW,Z4,2014,300,6,MANUAL,rear wheel drive,2,26,19,3916,56950
BMW,Z4,2014,335,6,AUTOMATED_MANUAL,rear wheel drive,2,24,17,3916,65800
BMW,Z4,2015,240,4,MANUAL,rear wheel drive,2,34,22,3916,48950
BMW,Z4,2015,300,6,AUTOMATED_MANUAL,rear wheel drive,2,24,17,3916,56950
BMW,Z4,2015,335,6,AUTOMATED_MANUAL,rear wheel drive,2,24,17,3916,65800
BMW,Z4,2016,300,6,AUTOMATED_MANUAL,rear wheel drive,2,24,17,3916,57500
BMW,Z4,2016,240,4,MANUAL,rear wheel drive,2,34,22,3916,49700
BMW,Z4,2016,335,6,AUTOMATED_MANUAL,rear wheel drive,2,24,17,3916,66350
BMW,Z4 M,2007,330,6,MANUAL,rear wheel drive,2,22,15,3916,50100
BMW,Z4 M,2007,330,6,MANUAL,rear wheel drive,2,22,15,3916,52100
BMW,Z4 M,2008,330,6,MANUAL,rear wheel drive,2,23,15,3916,50400
BMW,Z4 M,2008,330,6,MANUAL,rear wheel drive,2,23,15,3916,52400
BMW,Z8,2001,394,8,MANUAL,rear wheel drive,2,19,12,3916,128000
BMW,Z8,2002,394,8,MANUAL,rear wheel drive,2,19,12,3916,130000
BMW,Z8,2003,394,8,MANUAL,rear wheel drive,2,19,12,3916,131500
